xflr5 v6.47											
											
Plane Name											
T1-10.0 m/s-Panel-Inviscid											
QInf  =	10	m/s									
Alpha = 	10										
Beta  = 	   0.000°										
Phi   = 	   0.000°										
Ctrl  = 	0										
CL    = 	1.216729										
Cy    = 	0										
Cd=	0.05105	ICd=	0.05105	PCd=	0						
Cl   = 	4.26E-16										
Cm   =	-1.55736										
ICn=	0	PCn=	0								
XCP=	10.816701	 YCP=	0	 ZCP=	1.021642						
XNP=	0										
Bending =	275043.0313										
											
Main Wing											
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4	XTrtop	XTrBot	XCP	BM
191	1.96E+01	-3.00E+01	1.29E+00	0.222	0.098	0.97	6.55E-01	-0.1759			
192	1.99E+01	-3.00E+01	1.21E+00	0.226	0.099	0.969	4.98E-01	-0.0358			
193	2.02E+01	-3.00E+01	1.14E+00	0.24	0.103	0.965	3.12E-01	0.1198			
194	2.03E+01	-3.00E+01	1.11E+00	0.243	0.104	0.965	1.06E-01	0.2203			
Strip 8											
195	1.99E+01	-2.84E+01	1.05E+00	-0.128	-0.072	-0.989	1.27E-01	0.2827			
196	1.98E+01	-2.84E+01	1.06E+00	-0.109	-0.067	-0.992	3.72E-01	0.3483			
197	1.95E+01	-2.84E+01	1.07E+00	0.009	-0.032	-0.999	5.92E-01	0.3704			
198	1.91E+01	-2.84E+01	1.06E+00	0.073	-0.012	-0.997	7.82E-01	0.3305			
199	1.86E+01	-2.84E+01	1.01E+00	0.113	0.001	-0.994	9.29E-01	0.2833			
200	1.80E+01	-2.84E+01	9.39E-01	0.12	0.004	-0.993	1.02E+00	0.2398			
201	1.74E+01	-2.84E+01	8.72E-01	0.099	-0.005	-0.995	1.05E+00	0.2167			
202	1.68E+01	-2.84E+01	8.27E-01	0.049	-0.026	-0.998	1.01E+00	0.2397			
203	1.62E+01	-2.84E+01	8.15E-01	-0.012	-0.053	-0.999	9.24E-01	0.3253			
204	1.57E+01	-2.84E+01	8.35E-01	-0.072	-0.08	-0.994	7.84E-01	0.465			
205	1.53E+01	-2.84E+01	8.77E-01	-0.141	-0.114	-0.984	6.01E-01	0.6475			
206	1.50E+01	-2.84E+01	9.36E-01	-0.284	-0.185	-0.941	3.92E-01	0.7528			
207	1.48E+01	-2.84E+01	1.01E+00	-0.654	-0.365	-0.663	1.88E-01	-0.2765			
208	1.48E+01	-2.84E+01	1.11E+00	-0.8	-0.4	0.448	2.86E-01	-3.7419			
209	1.50E+01	-2.84E+01	1.24E+00	-0.486	-0.225	0.845	4.40E-01	-3.2443			
210	1.53E+01	-2.84E+01	1.37E+00	-0.32	-0.14	0.937	6.34E-01	-2.2249			
211	1.57E+01	-2.84E+01	1.48E+00	-0.206	-0.083	0.975	8.01E-01	-1.824			
212	1.62E+01	-2.84E+01	1.55E+00	-0.101	-0.033	0.994	9.28E-01	-1.5785			
